"word","spelling"
"universidade","u.ni.vɨɾ.si.ˈda.dɨ"
"porta","ˈpɔɾ.tɐ"
"calendário","kɐ.lẽ.ˈda.ɾju"
"botão","bu.ˈtɐ̃w̃"
"maçaneta","mɐ.sɐ.ˈne.tɐ"
"abrir","ɐ.ˈbɾiɾ"
"vinho","ˈvi.ɲu"
"fotografia","fu.tu.ɡɾɐ.ˈfi.ɐ"
"pantera","pɐ̃.ˈtɛ.ɾɐ"
"cinema","si.ˈne.mɐ"
"estrela","iʃ.ˈtɾe.lɐ"
"arte","ˈaɾ.tɨ"
"felino","fɨ.ˈli.nu"
"dança","ˈdɐ̃.sɐ"
"drama","ˈdɾɐ.mɐ"
"problema","pɾu.ˈble.mɐ"
"epitáfio","e.pi.ˈta.fju"
"ocaso","ɔ.ˈka.zu"
"bónus","ˈbɔ.nuʃ"
"união","u.ˈnjɐ̃w̃"
"simetria","si.mɨ.ˈtɾi.ɐ"
"porco","ˈpoɾ.ku"
"fenda","ˈfẽ.dɐ"
"chave","ˈʃa.vɨ"
"cabeça","kɐ.ˈbe.sɐ"
"uma","ˈu.mɐ"
"terrestre","tɨ.ˈRɛʃ.tɾɨ"
"veneziano","vɨ.nɨ.ˈzjɐ.nu"
"dezanove","dɨ.zɐ.ˈnɔ.vɨ"
"dezasseis","dɨ.zɐ.ˈsɐjʃ"
"lama","ˈlɐ.mɐ"
"ártico","ˈaɾ.ti.ku"
"norte","ˈnɔɾ.tɨ"
"cardeal","kɐɾ.ˈdi.aɫ"
"prelado","pɾɨ.ˈla.du"
"menu","mɨ.ˈnu"
"matriz","mɐ.ˈtɾiʃ"
"anticonstitucionalissimamente","ɐ̃ti.cõʃtitucjunɐlisimaˈmẽtɨ"
"doação","du.ɐ.ˈsɐ̃w̃"
"folha","ˈfo.ʎɐ"
"padre","ˈpa.dɾɨ"
"amanhã","a.mɐ.ˈɲɐ̃"
"visão","vi.ˈzɐ̃w̃"
"taxonomia","ta.ksu.nu.ˈmi.ɐ"
"casa","ka.zɐ"
"baía","bɐ.ˈi.ɐ"
"orifício","ɔ.ɾi.ˈfi.sju"
"não","ˈnɐ̃w̃"
"conclave","kõ.ˈkla.vɨ"
"turbante","tuɾ.ˈbɐ̃.tɨ"
"ornato","ɔɾ.ˈna.tu"
"mesmo","ˈmeʒ.mu"
"abreviatura","ɐ.bɾɨ.vjɐ.ˈtu.ɾɐ"
"capitalismo","kɐ.pi.tɐ.ˈliʒ.mu"
"associação","ɐ.su.sjɐ.ˈsɐ̃w̃"
"tema","ˈte.mɐ"
"biologia","bju.lu.ˈʒi.ɐ"
"formar","fuɾ.ˈmaɾ"
"por","puɾ"
