SriLanka_creole,Portuguese_IPA,phono_CV
Discerto,ĩ.ˈsɛɾ.tu,VC.CVC.CV
Discete,dɨ.zɐ.ˈsɛ.tɨ,CV.CV.CV.CV
Disciplo,dɨʃ.ˈsi.pu.lu,CVC.CV.CV.CV
Disconfiador,ĩ.ˈfjɛɫ,VC.CCVC
Disconfiadeira,ĩ.ˈfjɛɫ,VC.CCVC
Disconsalado,,
Discontentomento,dɨʃ.kõ.tẽ.tɐ.ˈmẽ.tu,CVC.CVC.CV.CV.CV.CV
Disconvertido,,
Discourtezia,,
Disemperado,,
Disfayeção,,
Disfiel,ĩ.ˈfjɛɫ,VC.CCVC
disfieldado,ĩ.ˈfjɛɫ,VC.CCVC
Disfielmente,,
Disfieldade,ĩ.fi.dɨ.li.ˈda.dɨ,VC.CV.CV.CV.CV.CV
Disgerado,,
Disgosto,,
Dish,,
Dishonorá,,
Dishonrável,,
Dislevedado,,
Dismercé,,
Dismercimento,,
Dismissão,,
Dismuê,di.ʒɨ.ˈɾiɾ,CV.CV.CVC
Desobdecimento,,
Disobedecido,dɨ.zɔ.bɨ.ˈdjẽ.tɨ,CV.CV.CV.CCV.CV
Disperdiçà,,
Dispidê,dɨʃ.pɨ.ˈdiɾ,CVC.CV.CVC
Dispôs,dɨ.ˈpojʃ,CV.CVCC
Disprazeiro,,
Disputação,diʃ.ˈpu.tɐ,CVC.CV.CV
Disregulado,,
Disrepartido,,
Disrezoado,,
Dissilim,,
Dissaude,,
Distrançà,,
Distrançador,,
Distranço,,
Distresso,,
Disvalia,,
Disvalià,,
Disvalioso,,
Dito,,
Divinidade,,
Divudo,,
Dizido,,
Docéro,,
Dóctor,,
Dódo,,
Dodice,,
doudiça,,
dodiço,,
Dodado,,
Doençá,,
Dolôr,,
Dominião,du.ˈmi.nju,CV.CV.CCV
Dor-quebrado,,
Dós,ˈdojʃ,CVCC
dous,ˈdojʃ,CVCC
Dous-dobrado,,
Doutrino,,
Doutro,,
Dovencè,,
Dó-vestido,,
Dozeiro,sɨ.ˈɡũ.du,CV.CVC.CV
douzeiro,sɨ.ˈɡũ.du,CV.CVC.CV
Dózimo,du.ɔ.ˈdɛ.si.mu,CV.V.CV.CV.CV
Drek,,
Dréker,,
Dreito,di.ˈɾɐj.tu,CV.CVC.CV
dreto,di.ˈɾɐj.tu,CV.CVC.CV
Dromi,duɾ.ˈmiɾ,CVC.CVC
dromé,duɾ.ˈmiɾ,CVC.CVC
drumé,duɾ.ˈmiɾ,CVC.CVC
Dromiçá,ɐ.duɾ.mɨ.ˈseɾ,V.CVC.CV.CVC
Dromiçá,ɐ.duɾ.mɨ.ˈseɾ,V.CVC.CV.CVC
Drop,,
Dúcats,,
Dúki,ˈdu.kɨ,CV.CV
Dukesè,du.ˈke.zɐ,CV.CV.CV
Durança,du.ɾɐ.ˈsɐ̃w̃,CV.CV.CVG
Duvidade,ˈdu.vi.dɐ,CV.CV.CV
duvidança,ˈdu.vi.dɐ,CV.CV.CV
Duvidando,,
Earnestè,,
Eamestemente,,
Earnestidade,,
Egualação,,
Egualado,,
Egualadomente,i.ɡwaɫ.ˈmẽ.tɨ,V.CV.VC.CV.CV
Ementà,,
Emendador,,
Emperador,ĩ.pɨ.ɾɐ.ˈdoɾ,VC.CV.CV.CVC
emperdor,ĩ.pɨ.ɾɐ.ˈdoɾ,VC.CV.CV.CVC
Empressado,ĩ.ˈpɾɛ.su,VC.CCV.CV
Encenso,ĩ.ˈsẽ.su,VC.CV.CV
Encircà,,
Encontração,,
Enculcá,,
Enculcação,,
Enfante,,
Enferno,ĩ.ˈfɛɾ.nu,VC.CVC.CV
Engeità,,
Englanterra,,
Engrato,ĩ.ˈɡɾa.tu,VC.CCV.CV
Enguento,,
Enimigo,,
enimingo,,
enemingo,,
Enjoelho,ˈʒwɐj.ʎu,CV.VC.CV
Enjoelhá,,
Enjusticia,,
Enluminá,i.lu.mi.ˈnaɾ,V.CV.CV.CVC
enlumiá,i.lu.mi.ˈnaɾ,V.CV.CV.CVC
Enrodiá,,
Ensinador,,
Ensombrado,,
Enteiro,ĩ.ˈtɐj.ɾu,VC.CVC.CV
Enténcia,,
Envéja,ĩ.ˈvɐj.ʒɐ,VC.CVC.CV
envejè,ĩ.ˈvɐj.ʒɐ,VC.CVC.CV
envéjo,ĩ.ˈvɐj.ʒɐ,VC.CVC.CV
enveijo,ĩ.ˈvɐj.ʒɐ,VC.CVC.CV
Envisté,vɨʃ.ˈtiɾ,CVC.CVC
Erdávè,eɾ.ˈdaɾ,VC.CVC
Erdéro,,
Eropa,,
Escola-mestre,,
Esfriado,,
Esperdiçá,,
esperdicé,,
esperdeçá,,
esperdecê,,
Esperdição,dɨʃ.pɨɾ.ˈdi.sju,CVC.CVC.CV.CCV
Esperta,,
espertel,,
Este,,
Estelei,,
Estopo,,
Etiqua,,
Fábre,ˈfɛ.bɾɨ,CV.CCV
Faça,,
Faê,fɐ.ˈzeɾ,CV.CVC
Fallà,,
Fallars,,
Falsento,,
Falsodade,,
Faltança,ˈfaɫ.tɐ,CVC.CV
Famado,,
Fámea,,
Familha,fɐ.ˈmi.ljɐ,CV.CV.CCV
familyè,fɐ.ˈmi.ljɐ,CV.CV.CCV
Familha-oração,,
Familhado,,
Faz,ˈfa.siɫ,CV.CVC
Féxon,,
Favorà,,
Favorado,,
Favoroso,,
Favorosomente,,
Favour,,
Fàze,ˈfɐj.tu,CVC.CV
Fazedo,ˈfɐj.tu,CVC.CV
fazido,ˈfɐj.tu,CVC.CV
Fazendo,,
Fébruari,,
Fee,,
Feirréro,fɨ.ˈRɐj.ɾu,CV.CVC.CV
Felizamente,fɨ.liʒ.ˈmẽ.tɨ,CV.CVC.CV.CV
Felizidade,,
Femè,ˈfe.mjɐ,CV.CCV
Féo,ˈfɐj.u,CVC.V
feu,ˈfɐj.u,CVC.V
Feudade,fi.aɫ.ˈda.dɨ,CV.VC.CV.CV
Ferão,fɨ.ˈRɐ̃w̃,CV.CVG
Ferido,fɨ.ˈɾi.dɐ,CV.CV.CV
Fero,,
Ferraro,fɨ.ˈRɐj.ɾu,CV.CVC.CV
Fessão,fɐj.ˈsɐ̃w̃,CVC.CVG
Festè,ˈfɛʃ.tɐ,CVC.CV
Festià,,
Feticeria,fɐj.ti.sɐ.ˈɾi.ɐ,CVC.CV.CV.CV.V
Fetiço,fɐj.ˈti.su,CVC.CV.CV
Feticéro,,
Feto,ˈfɐj.tu,CVC.CV
Fiado,,
Fial,,
Ficà,,
Fichà,,
Ficticioso,,
Fieldade,fi.dɨ.li.ˈda.dɨ,CV.CV.CV.CV.CV
Fifesfifies,,
féfes,,
fifeis,,
fifi,,
Figas,,
Figo,,
Filho-de-moça,,
Filyo,ˈfi.ʎu,CV.CV
Firmemento,,
Firmidade,fiɾ.ˈme.zɐ,CVC.CV.CV
Fisgà,fi.ˈksaɾ,CV.CCVC
Fitchá,,
Fitè,ˈfi.tɐ,CV.CV
Flamma,ˈʃɐ.mɐ,CV.CV
Flau,,
Flek,,
Floricé,,
Floricemento,,
Fogà,ɐ.fu.ˈɡaɾ,V.CV.CVC
Fólga,ˈfo.lɨ.ɡu,CV.CV.CV
Folgação,,
Folho,ˈfo.ʎɐ,CV.CV
Folmac,,
Fome,,
Fonte-crystal,,
Fontena,,
Força,,
forcè,,
Forçamente,,
forçadomente,,
Fordè,,
fórda,,
Fordaque,,
Forde-sintido,,
Fórea,fɨ.ˈRu.ʒɐ̃j̃,CV.CV.CVC
fória,fɨ.ˈRu.ʒɐ̃j̃,CV.CV.CVC
Fornè,ˈfoɾ.nu,CVC.CV
Forrè,ˈfɔ.ɾɐ,CV.CV
Fortelezè,fuɾ.tɐ.ˈle.zɐ,CVC.CV.CV.CV
fortéza,fuɾ.tɐ.ˈle.zɐ,CVC.CV.CV.CV
Fortificação,kõ.fiɾ.mɐ.ˈsɐ̃w̃,CVC.CVC.CV.CVG
Fraqueza,,
Frechador,,
Fremoso,fuɾ.ˈmo.zu,CVC.CV.CV
Fremosura,fuɾ.mu.ˈzu.ɾɐ,CVC.CV.CV.CV
fremesura,fuɾ.mu.ˈzu.ɾɐ,CVC.CV.CV.CV
fremesora,fuɾ.mu.ˈzu.ɾɐ,CVC.CV.CV.CV
fremasora,fuɾ.mu.ˈzu.ɾɐ,CVC.CV.CV.CV
Frés,ˈfɾeʃ.ku,CCVC.CV
frez,ˈfɾeʃ.ku,CCVC.CV
Frieudade,,
Friu,ˈfɾi.u,CCV.V
Frominga,,
fruminga,,
Fronte,,
Frosteiro,,
frostéro,,
Frúita,,
Frúito,ˈfɾu.tu,CCV.CV
Fruitoso,fɾu.ˈtwo.zu,CCV.CV.V.CV
Frutofeira,,
Fugà,ɐ.fu.ˈɡaɾ,V.CV.CVC
Fugé,fu.ˈʒiɾ,CV.CVC
Fula,ˈfloɾ,CCVC
fulè,ˈfloɾ,CCVC
Fuma,ˈfu.mu,CV.CV
Fundà,,
Fundemento,fũ.dɐ.ˈmẽ.tu,CVC.CV.CV.CV
Fundéza,ˈfũ.du,CVC.CV
fundura,ˈfũ.du,CVC.CV
Furtador,,
Furtéza,ˈfuɾ.tu,CVC.CV
Furugè,fɨ.ˈRu.ʒɐ̃j̃,CV.CV.CVC
furuja,fɨ.ˈRu.ʒɐ̃j̃,CV.CV.CVC
Furrugento,,
Gafinhoto,ɡɐ.fɐ.ˈɲo.tu,CV.CV.CV.CV
Gafo,,
Gagueação,,
Gáilo,ɡaj.ˈɔ.lɐ,CVC.V.CV
Gajo,,
ganyo,,
Ganyà,ɡɐ.ˈɲaɾ,CV.CVC
Galyardè,ɡɐ.ˈʎaɾ.du,CV.CVC.CV
Gamela,,
Gardá,ɡwɐɾ.ˈdaɾ,CV.VC.CVC
Gardamento,,
Gardecé,ɐ.ɡɾɐ.dɨ.ˈseɾ,V.CCV.CV.CVC
gardicê,ɐ.ɡɾɐ.dɨ.ˈseɾ,V.CCV.CV.CVC
guardicé,ɐ.ɡɾɐ.dɨ.ˈseɾ,V.CCV.CV.CVC
Gardecimento,ɐ.ɡɾɐ.dɨ.si.ˈmẽ.tu,V.CCV.CV.CV.CV.CV
gardicemento,ɐ.ɡɾɐ.dɨ.si.ˈmẽ.tu,V.CCV.CV.CV.CV.CV
gardiamento,ɐ.ɡɾɐ.dɨ.si.ˈmẽ.tu,V.CCV.CV.CV.CV.CV
Gardicidomente,,
Gavà,,
gová,,
Gavação,,
Gaytarios,,
Gazià,,
Gaziação,,
Gemedores,,
Gemeduras,,
Generà,,
Generalmente,,
Gentigo,,
Geresan,ʒɨ.ɾɐ.ˈsɐ̃w̃,CV.CV.CVG
Glass,,
Gloriação,,
Goldice,,
goldiça,,
Goldiçà,ɐ.pɨ.tɨ.ˈseɾ,V.CV.CV.CVC
Gotiá,ɡu.tɨ.ˈʒaɾ,CV.CV.CVC
Gourdo,,
Govemamento,,
Governo,,
Gaun,,
Gracè,,
grácia,,
Grado,,
Grammar,,
Gran,ˈɡɾɐ̃w̃,CCVG
Grande,,
Grandes,,
Grandomente,,
grandamente,,
Grandézè,,
grandura,,
grandurè,,
Greja,i.ˈɡɾɐj.ʒɐ,V.CCVC.CV
Grijo,ˈɡɾi.lu,CCV.CV
Grik,,
Grog,,
Gubernador,,
Gudão,,
Guerrè,,
Guerrà,ɡɨ.ˈRi.aɾ,CV.CV.VC
Guerrador,,
Guerrioso,,
Hanscun,,
Harpo,ˈaɾ.pɐ,VC.CV
Hénder,,
Herdança,e.ˈɾɐ̃.sɐ,V.CV.CV
Heregia,e.ɾɨ.ˈzi.ɐ,V.CV.CV.V
herecia,e.ɾɨ.ˈzi.ɐ,V.CV.CV.V
Herético,,
heréjo,,
Heridá,eɾ.ˈdaɾ,VC.CVC
Histórè,iʃ.ˈtɔ.ɾjɐ,VC.CV.CCV
Hojo,ô.je,V.CV
hôjoe,ô.je,V.CV
Hómbra,,
Home,ˈɔm,VC
homi,ˈɔm,VC
Homicido,u.mi.ˈsi.dju,V.CV.CV.CCV
Honeste,u.ˈnɛʃ.tu,V.CVC.CV
Honestemente,,
Honourado,,
honerado,,
Honoravel,,
Hortè,,
Hortalão,,
hortolão,,
Huã,,
Húmè,,
Humildo,u.ˈmiɫ.dɨ,V.CVC.CV
Humildeza,u.miɫ.ˈda.dɨ,V.CVC.CV.CV
Humiliação,u.mi.ʎɐ.ˈsɐ̃w̃,V.CV.CV.CVG
Hypocritico,,
Aiç,,
Idade,,
Idóla,,
Idolateiro,i.ˈdɔ.lɐ.tɾɐ,V.CV.CV.CCV
idoloteiro,i.ˈdɔ.lɐ.tɾɐ,V.CV.CV.CCV
Ilharga-ferido,,
Ilya,ˈi.ʎɐ,V.CV
Ilyarga,,
Imajo,i.ˈma.ʒɐ̃j̃,V.CV.CVC
Immudança,,
Impioso,ˈĩ.pju,VC.CCV
Importado,ĩ.puɾ.ˈtɐ̃.tɨ,VC.CVC.CV.CV
Importança,ĩ.puɾ.ˈtɐ̃.sjɐ,VC.CVC.CV.CCV
Importadomente,,
Impressà,,
Impressado,ĩ.ˈpɾɛ.su,VC.CCV.CV
Impressador,ĩ.pɾɨ.ˈsoɾ,VC.CCV.CVC
Impuridade,ĩ.pu.ˈɾe.zɐ,VC.CV.CV.CV
Incensà,,
Incenseiro,,
incenséro,,
Incredivel,,
Indè,,
Indulgéncè,,
Ingratidade,,
Inimingo,,
inemingo,,
Inexpressavel,,
Infruitoso,ĩ.fɾu.ˈti.fɨ.ɾu,VC.CCV.CV.CV.CV
Ingres,ĩ.ˈgleʃ,VC.CCVC
Inimizade,,
Injoelho,ˈʒwɐj.ʎu,CV.VC.CV
injivelho,ˈʒwɐj.ʎu,CV.VC.CV
injevejo,ˈʒwɐj.ʎu,CV.VC.CV
injivejo,ˈʒwɐj.ʎu,CV.VC.CV
Insincero,,
Institutà,,
Instruição,ĩʃ.tɾu.ˈsɐ̃w̃,VCC.CCV.CVG
Inténcia,,
inténci,,
Intercessà,,
Intergridade,ĩ.tɨ.ɡɾi.ˈda.dɨ,VC.CV.CCV.CV.CV
Internal,,
Intrudição,ĩ.tɾu.du.ˈsɐ̃w̃,VC.CCV.CV.CVG
Inveijo,ĩ.ˈvɐj.ʒɐ,VC.CVC.CV
Iremão,iɾ.ˈmɐ̃w̃,VC.CVG
Irès,,
Irmana,iɾ.ˈmɐ̃,VC.CV
Iscóchi,,
Ispirito,,
Istôri,iʃ.ˈtɔ.ɾjɐ,VC.CV.CCV
Jà,ˈʒa,CV
Jadàwe,,
Jagra,,
Jam,,
January,,
Jar,,
Jarès,,
Jàsper,ˈʒaʃ.pɨ,CVC.CV
Jásper-mar,,
Javi,ˈvɐj.u,CVC.V
javitem,ˈvɐj.u,CVC.V
Javiran,,
Jin,,
Jinjúa,ʒɨ.ˈʒũ,CV.CVC
jinúa,ʒɨ.ˈʒũ,CV.CVC
jinjunação,ʒɨ.ˈʒũ,CV.CVC
Jinjuá,ʒɨ.ˈʒwaɾ,CV.CV.VC
Jornado,ʒuɾ.ˈna.dɐ,CVC.CV.CV
Jubilee,,
Judá,ɐ.ˈʒu.dɐ,V.CV.CV
judè,ɐ.ˈʒu.dɐ,V.CV.CV
judança,ɐ.ˈʒu.dɐ,V.CV.CV
Judá,,
judai,,
Judador,,
judedor,,
Jadj,,
Jufrau,,
Julgação,,
Julgador,,
Julai,,
Jumbà,,
Jumbador,,
Jiun,,
Juntação,ɐ.ʒũ.tɐ.ˈmẽ.tu,V.CVC.CV.CV.CV
Juntado,,
Junto-herdeiro,,
Junto-obrador,,
Junto-peditóris,,
Junto-servidor,ku.ˈlɛ.ɡɐ,CV.CV.CV
Jurar,,
Justá,ɐ.ʒuʃ.ˈtaɾ,V.CVC.CVC
Justado,,
Justamento,,
Justicia,ʒuʃ.ˈti.sɐ,CVC.CV.CV
Justo,,
Kokeira,ko.ˈkɐj.ɾu,CV.CVC.CV
Labóra,,
Lacerdo,,
Lacrá,,
Laderan,,
Ladinha,lɐ.dɐ.ˈi.ɲɐ,CV.CV.V.CV
Ladroviça,,
ladraviça,,
ladravicè,,
ladrivicè,,
ladervisa,,
Lagárè,lu.ˈɡaɾ,CV.CVC
Lágri,ˈla.ɡɾi.mɐ,CV.CCV.CV
láguir,ˈla.ɡɾi.mɐ,CV.CCV.CV
Lambrança,,
Lemp,,
Lampo,ˈlɐ̃.pɐ.dɐ,CV.CV.CV
Lantá,lɨ.vɐ̃.ˈtaɾ,CV.CV.CVC
Lanterno,,
Lão,,
Lapiá,,
Lasta,,
lastè,,
Lastimo,ˈlaʃ.ti.mɐ,CVC.CV.CV
Lastro,ˈla.su,CV.CV
lástor,ˈla.su,CV.CV
Laviação,,
Lavração,,
Lé,,
Lego,ˈlɛ.ɡwɐ,CV.CV.V
leagou,ˈlɛ.ɡwɐ,CV.CV.V
Legislatà,,
Lei,ˈko.mu,CV.CV
Leido,,
Lejado,,
Lembrá,,
Léper,,
leprosa,,
Lés,ˈleɾ,CVC
lez,ˈleɾ,CVC
leis,ˈleɾ,CVC
Lés,li.ˈsɐ̃w̃,CV.CVG
Leste,,
lestes,,
Lestemente,pɾõ.tɐ.ˈmẽ.tɨ,CCVC.CV.CV.CV
Léte,ˈlɐj.tɨ,CVC.CV
Létar,,
létera,,
letra,,
Levadura,fɨɾ.ˈmẽ.tu,CVC.CV.CV
Leve,,
Levedação,,
levedado,,
Leventà,lɨ.vɐ̃.ˈtaɾ,CV.CV.CVC
Lichim,,
Limita,,
limito,,
Lingareiro,,
lingerero,,
Lingo,ˈlĩ.ɡwɐ,CVC.CV.V
Linguerção,,
lingersan,,
linguarçan,,
Linhos,,
Liverdade,li.bɨɾ.ˈda.dɨ,CV.CVC.CV.CV
livradade,li.bɨɾ.ˈda.dɨ,CV.CVC.CV.CV
Livrança,li.bɨɾ.tɐ.ˈsɐ̃w̃,CV.CVC.CV.CVG
livrancè,li.bɨɾ.tɐ.ˈsɐ̃w̃,CV.CVC.CV.CVG
livração,li.bɨɾ.tɐ.ˈsɐ̃w̃,CV.CVC.CV.CVG
Ló,ˈlɔ.ɡu,CV.CV
Lodia,,
Lodo,,
Logarmésmo,,
Loiros,,
Loità,lu.ˈtaɾ,CV.CVC
Loitamento,,
loitança,,
Loser,,
Louvro,low.ˈvoɾ,CVG.CVC
Lovà,low.ˈvaɾ,CVG.CVC
Lugàra,lu.ˈɡaɾ,CV.CVC
Iugàrè,lu.ˈɡaɾ,CV.CVC
Iugària,lu.ˈɡaɾ,CV.CVC
Lugar-gosto,,
Luguéra,ɐ.lu.ˈɡɛɾ,V.CV.CVC
Luma,,
Lumár,,
lumára,,
lumaré,,
Lumado,ɐ.ˈlwa.du,V.CV.V.CV
Lumià,,
Luminário,,
luminairo,,
lum'nario,,
Luzé,lu.ˈziɾ,CV.CVC
Luzindo,,
Maas,,
Mação,mɐ̃.ˈsɐ̃w̃,CV.CVG
Macéo,,
Machicá,,
Mexin,,
Macho-criancè,,
Màdam,,
Madergà,mɐ.dɾu.ˈɡaɾ,CV.CCV.CVC
Mademá,,
Mafatría,,
Magovà,mɐ.ˈɡwaɾ,CV.CV.VC
maguvà,mɐ.ˈɡwaɾ,CV.CV.VC
Mai,ˈmɐ̃j̃,CVC
Mainato,,
Maisdiante,,
Maisque,,
masque,,
Majestado,,
Major,mɐj.ˈɔɾ,CVC.VC
Mal,,
Maldiçansa,,
Maldiçoà,,
maldiçà,,
Malfetor,maɫ.fɐj.ˈtoɾ,CVC.CVC.CVC
Malino,mɐ.ˈli.ɡnu,CV.CV.CCV
Mal-prestado,,
Malusancia,,
Mamma,,
ma,,
Man,,
Man',,
Mandemento,,
Manduco,,
Mangue,,
Manhão,mɐ.ˈɲɐ̃,CV.CV
Ment'l,,
Manhecé,ɐ.mɐ.ɲɨ.ˈseɾ,V.CV.CV.CVC
manecê,ɐ.mɐ.ɲɨ.ˈseɾ,V.CV.CV.CVC
Manéja,,
manejador,,
Mão-em-mão,,
Mép,,
Mará,,
marrá,,
Marado,,
Maradura,,
Mára,mɐ.ˈɾɛ,CV.CV
marè,ˈmaɾ,CVC
Martch,,
Marello,ɐ.mɐ.ˈɾɛ.lu,V.CV.CV.CV
Marga,ɐ.ˈmaɾ.ɡu,V.CVC.CV
Margôra,ɐ.mɐɾ.ˈɡu.ɾɐ,V.CVC.CV.CV
Margoso,,
Márgu,,
Mármor,ˈmaɾ.mu.ɾɨ,CVC.CV.CV
màrmar,ˈmaɾ.mu.ɾɨ,CVC.CV.CV
Martellè,mɐɾ.ˈtɛ.lu,CVC.CV.CV
martél,mɐɾ.ˈtɛ.lu,CVC.CV.CV
Mártyro,,
Marvia,,
Marvioso,mɐ.ɾɐ.vi.ˈʎo.zu,CV.CV.CV.CV.CV
Marvilha,,
Marvilhà,,
Más,,
Masante,,
Mascomtudo,,
Masdiante,,
Maçabado,,
Maslins,,
Massà,,
Massavo,,
Mástri,,
Masvinho,,
Matação,u.mi.ˈsi.dju,V.CV.CV.CCV
matança,u.mi.ˈsi.dju,V.CV.CV.CCV
Matches,,
Mate,,
Matinha,,
Métres,,
Mêi,,
Medè,mɨ.ˈdiɾ,CV.CVC
Media,,
Miting,,
Megoà,,
melgoá,,
Megoador,,
Meido,ˈme.du,CV.CV
Melhoramente,,
Mellifluoso,mɨ.li.ˈflwu,CV.CV.CCV.V
Memo,ˈmi.mu,CV.CV
Memoso,,
Mentè,,
Méo,ˈmɐj.u,CVC.V
Mercacia,,
Mercadeira,,
Mercê,mɨ.ɾɨ.ˈseɾ,CV.CV.CVC
Mercemento,,
mercimento,,
mericemento,,
Merecê,mɨ.ɾɨ.ˈseɾ,CV.CV.CVC
Meritória,ˈmɛ.ɾi.tu,CV.CV.CV
Merón,,
Mès,ˈmeʃ,CVC
méis,ˈmeʃ,CVC
Més,,
Méssa,ˈme.zɐ,CV.CV
Messá,ɐ.mjɐ.ˈsaɾ,V.CCV.CVC
Messangeiro,,
massengeiro,,
Mestre,,
méstri,,
Metade,,
metai,,
Methodisto,,
Milagrioso,,
Mail,,
Militàrio,mɨ.li.ˈtaɾ,CV.CV.CVC
Millions,,
Mils,,
Mimôri,mɨ.ˈmɔ.ɾjɐ,CV.CV.CCV
Minguação,,
Minha,,
minhè,,
Ministeiro,mɨ.niʃ.ˈtɛ.ɾju,CV.CVC.CV.CCV
Ministração,mɨ.niʃ.ˈtɛ.ɾju,CV.CVC.CV.CCV
Minté,,
Minteira,mẽ.ˈti.ɾɐ,CV.CV.CV
Minteroso,,
mintroso,,
Minuito,,
Mira,ˈmi.Rɐ,CV.CV
Misaravel,mi.zɨ.ˈɾa.vɛɫ,CV.CV.CV.CVC
misravel,mi.zɨ.ˈɾa.vɛɫ,CV.CV.CV.CVC
Misinha,,
Misricordia,mi.zɨ.ɾi.ˈkɔɾ.djɐ,CV.CV.CV.CVC.CCV
misrecordia,mi.zɨ.ɾi.ˈkɔɾ.djɐ,CV.CV.CV.CVC.CCV
Misricordioso,,
Misté,,
mista,,
Mistia,,
Mistem,,
Mistrá,miʃ.tu.ˈɾaɾ,CVC.CV.CVC
Moça,,
Moção,,
Mofiná,,
Moito,ˈmwĩ.tu,CV.VC.CV
Moleira,,
Molgá,,
Molyà,,
Molya,,
mujà,,
Mónster,,
Montanho,mõ.ˈtɐ.ɲɐ,CVC.CV.CV
Mooi,,
Moradè,,
morado,,
morando,,
morança,,
moradura,,
Morra,mu.ˈɾaɾ,CV.CVC
Morrendo,,
Morro,,
Mortajo,muɾ.ˈta.ʎɐ,CVC.CV.CV
Mortià,ɐ.muɾ.tɐ.ˈʎaɾ,V.CVC.CV.CVC
Mostárdè,muʃ.ˈtaɾ.dɐ,CVC.CVC.CV
Mourdé,muɾ.ˈdeɾ,CVC.CVC
Mourdindo,,
Movà,mu.ˈveɾ,CV.CVC
Muê,ˈmweɾ,CV.VC
muá,ˈmweɾ,CV.VC
Mudana,,
Mudáncè,mu.ˈdɐ̃.sɐ,CV.CV.CV
mudação,mu.ˈdɐ̃.sɐ,CV.CV.CV
Mudano,mũ.ˈdɐ.nu,CVC.CV.CV
Mulhàra,,
Mulvado,,
Mundado,,
Mundoso,mũ.ˈdɐ.nu,CVC.CV.CV
Murguiá,mɨɾ.ɡu.ˈʎaɾ,CVC.CV.CVC
Murguiaçâo,,
Murindo,,
Murmerà,,
Murmeração,,
Murré,,
Musicante,,
Musico,,
Mustrà,muʃ.ˈtɾaɾ,CVC.CCVC
Mutúra,,
Mystéria,miʃ.ˈtɛ.ɾju,CVC.CV.CCV
Nacemento,,
Nada,,
Nada,,
nadè,,
nandè,,
Nadia,,
Namais,,
namás,,
Nan,ˈnɐ̃w̃,CVG
Natal-dia,,
Nau-quebrado,,
Navigà,nɐ.vɨ.ˈɡaɾ,CV.CV.CVC
Necestade,nɨ.sɨ.si.ˈda.dɨ,CV.CV.CV.CV.CV
Negligá,,
Negócia,nɨ.ˈɡɔ.sju,CV.CV.CCV
Nehum,,
nihum,,
nium,,
Nemistê,,
nemistà,,
nimisté,,
numistè,,
Nérva,,
Nigrinha,,
Nimito,,
nimíta,,
Nimità,,
Nimitação,,
Ninquer,,
Ninqueria,,
Nistá,nɨ.sɨ.si.ˈtaɾ,CV.CV.CV.CVC
Nistade,nɨ.sɨ.si.ˈda.dɨ,CV.CV.CV.CV.CV
Nó,ˈnu,CV
nuó,ˈnu,CV
Nóber,ˈnɔ.bɾɨ,CV.CCV
Nobilidade,,
Nobréza,,
Nocente,i.nu.ˈsẽ.tɨ,V.CV.CV.CV
nocenti,i.nu.ˈsẽ.tɨ,V.CV.CV.CV
Nogo,ˈno.vu,CV.CV
Noivu,,
Nómber,,
Nompodé,,
nompôdi,,
Nompodia,,
Nona,,
Nôtis,,
Nonca,ˈnũ.kɐ,CVC.CV
nonco,ˈnũ.kɐ,CVC.CV
nuca,ˈnũ.kɐ,CVC.CV
núcu,ˈnũ.kɐ,CVC.CV
Nono,ɐ.ˈvo,V.CV
Nossè,,
Nossotros,,
Notáris,,
Novas-papella,,
Novémber,,
Nóves,,
Nóvis,ˈnu.vɐ.ɐ̃j̃,CV.CV.VC
Nué,,
nuvé,,
nuá,,
Num,ˈnɐ̃w̃,CVG
nun,ˈnɐ̃w̃,CVG
Numpodé,,
numpôdi,,
Numpodia,,
Nuntem,,
Nuntinha,,
Numbro,,
Nunca,ˈnũ.kɐ,CVC.CV
nunco,ˈnũ.kɐ,CVC.CV
Nuvè,ˈnu.vɐ.ɐ̃j̃,CV.CV.VC
Ô,ow,VG
Obedicé,ɔ.bɨ.dɨ.ˈseɾ,V.CV.CV.CVC
obdecé,ɔ.bɨ.dɨ.ˈseɾ,V.CV.CV.CVC
Obdicindo,,
Obedecencia,,
obedecimento,,
Obre,ˈɔ.bɾɐ,V.CCV
óber,ˈɔ.bɾɐ,V.CCV
Obração,ɔ.pɨ.ɾɐ.ˈsɐ̃w̃,V.CV.CV.CVG
Obraro,,
Obrigacè,ɔ.bɾi.ɡɐ.ˈsɐ̃w̃,V.CCV.CV.CVG
Occidente,,
Octóber,,
Ódia,ˈɔ.dju,V.CCV
Offéncia,,
Offercé,ɔ.fɨ.ɾɨ.ˈseɾ,V.CV.CV.CVC
Offercimento,ɔ.ˈfɛɾ.tɐ,V.CVC.CV
offeração,ɔ.ˈfɛɾ.tɐ,V.CVC.CV
offerça,ɔ.ˈfɛɾ.tɐ,V.CVC.CV
offerço,ɔ.ˈfɛɾ.tɐ,V.CVC.CV
Ófis,,
Ófiser,,
Officina,,
officio,,
officia,,
offiço,,
Ogo,,
Oitórè,,
Olhà,,
Olyà,,
oyà,,
Olyo,ô.je,V.CV
Ómber,,
Omóris,,
Omp,,
ompi,,
Ontà,ũ.ˈtaɾ,VC.CVC
Onte,ˈõ.tɐ̃j̃,VC.CVC
